name,Biography,last_name,creator image,location,latitude,longitude,roles,jobTitle,affiliation,location_name,iteration,sequence,year,title,body_y,references,makers
Abin Abraham,"Abin Abraham is a software engineer at the United Nations Global Compact where he has led visualization and web projects focused on the Sustainable Development Goals. He moves towards the intersection of technology, art, and policy, with the belief that design and technology can find novel ways to shepherd development of effective policy. His work has been featured at the Berlin Technology Foundation and Columbia University and nominated for an Information is Beautiful award.",Abraham,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/abin-abraham/image.jpg,,,,['maker'],,,,,,,,,,
Achim Oberg,"Achim Oberg is senior researcher at the University of Mannheim and affiliated with the WU Vienna University of Economics and Business. His research focuses on organizational self-representations on the World Wide Web as a means to understand the structure of organizational fields and the diffusion of concepts in and between fields.
",Oberg,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/achim-oberg/image.jpg,,,,['maker'],,,"Mannheim, Germany",,,,,,,
Adam Simpson,"Adam Simpson earned a BS in informatics with a telecommunications cognate and computer science minor from Indiana University–Bloomington in 2013. Since 2012, he has served as software developer for the Cyberinfrastructure for Network Science Center at IU.",Simpson,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/adam-simpson/image.jpg,,,,['maker'],,,"Bloomington, IN, USA",,,,,,,
Adeline Chum,N/A,Chum,N/A,,,,['maker'],,,,19,7,2023,Mapping the New Politics of Care,"Authors: Laura Kurgan, Gregg Gonsalves, Dare Brawley, Jia Zhang, Suzan Iloglu,Thomas Thornhill, Adeline Chum, 

Link to Macroscope: <https://newpoliticsofcare.net/>

Abstract: 

Mapping the New Politics of Care displayed the effects of COVID-19 in the United States layering a wide range of social, economic, and environmental conditions on two interactive maps utilizing multiple vulnerability indexes. 

The first map, titled Community Health Workers, asked viewers to imagine what would happen if one million community workers were allocated across the USA by comparing four indexes of vulnerability alongside COVID-19 data. A user can toggle between multiple vulnerabilities for the distribution of the workers, specific to each county. Making decisions like this responsibly requires confronting and addressing not just the virus but also the inequalities and vulnerabilities that propelled the pandemic.

All people in the USA were granted the right to have access to free, safe, and effective COVID-19 vaccines over multiple federal distribution phases. But due to the limited doses available, the majority of states followed the Center for Disease Control’s recommendations to prioritize health-care personnel and long-term care facility residents in receiving the first vaccines. 

The second map titled, Vaccine Allocation, focused on this first distribution, Phase 1A of the federal program and compared how each state could have distributed 22 million doses of vaccine more equitably. Users can compare Phase 1A allocation vs allocation to vulnerable populations county by county, in each state. Prioritizing vulnerability could have mitigated health inequities and protected communities that were more likely to have the first and most concentrated COVID-19 outbreaks.

The vulnerabilities made visible in both maps predated the pandemic and created the conditions for the virus to flourish. Both maps display the acute inequalities embedded in the social and political landscape of the USA. This pandemic is not simply biological. It is a symptom of an illness in our body politic. As COVID-19 roared across the country, it followed the fault lines of social vulnerability.","Gonsalves, Gregg, and Amy Kapczynski. 2020. “The New Politics of Care.” Boston Review, April 26, 2020. http://bostonreview.net/politics/gregg-gonsalves-amy-kapczynski-new-politics-care.

Centers for Disease Control and Prevention, “COVID-19 Vaccine Distribution Allocations by Jurisdiction - Pfizer,” 2020, https://data.cdc.gov/Vaccinations/COVID-19-Vaccine-Distribution-Allocations-by-Juris/saz5-9hgg.

Centers for Disease Control and Prevention, “COVID-19 Vaccine Distribution Allocations by Jurisdiction - Moderna,” 2020, https://data.cdc.gov/Vaccinations/COVID-19-Vaccine-Distribution-Allocations-by-Juris/b7pe-5nws.

Centers for Disease Control and Prevention. 2020. “COVID-19 Hospitalization and Death by Age.” February 11, 2020. https://www.cdc.gov/coronavirus/2019-ncov/COVID-data/investigations-discovery/hospitalization-death-by-age.html.

Centers for Disease Control and Prevention, “CDC Social Vulnerability Index (SVI),” September 4, 2020, https://www.atsdr.cdc.gov/placeandhealth/svi/index.html.

Centers for Disease Control and Prevention. 2020. “Coronavirus Disease 2019 (COVID-19) 2020 Interim Case Definition, Approved August 5, 2020.” https://wwwn.cdc.gov/nndss/conditions/coronavirus-disease-2019-COVID-19/case-definition/2020/08/05/.

Centers for Medicare and Medicaid Services, “Nursing homes including rehab services, Provider Information,” 2020, https://data.cms.gov/provider-data/dataset/4pq5-n9py.

Centers for Medicare and Medicaid Services. 2020. “State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data, Centers for Medicare and Medicaid Services.” https://data.medicaid.gov/Enrollment/State-Medicaid-and-CHIP-Applications-Eligibility-D/n5ce-jxme.

Departamento de Salud. 2019. “Informe Anual de Estadísticas Vitales: Defunciones, años 2015 y 2016.” http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Estadisticas%20Vitales/Informe%20Anual%20Estad%C3%ADsticas%20Vitales%20Defunciones%202015-2016.pdf.

New York Times. 2020. “Coronavirus (COVID-19) Data in the United States.” https://github.com/nytimes/COVID-19-data.

Remington, Patrick L., Bridget B. Catlin, and Keith P. Gennuso. 2015. “The County Health Rankings: Rationale and Methods.” Population Health Metrics 13 (1): 11. https://doi.org/10.1186/s12963-015-0044-2.

University of Wisconsin Population Health Institute and Robert Wood Johnson Foundation. 2020. “2020 County Health Rankings National Data.” https://www.countyhealthrankings.org/explore-health-rankings/rankings-data-documentation.

US Bureau of Labor Statistics. 2020. “Local Area Unemployment Statistics.” https://www.bls.gov/lau/laufaq.htm#Q01.

US Census Bureau, “American Community Survey 5-Year Data (2015–2019),” 2020, https://www.census.gov/data/developers/data-sets/acs-5year.html.

US Census Bureau, “2018 County Business Patterns,” 2020, https://www.census.gov/programs-surveys/cbp.html.

US Census Bureau. 2020. “Puerto Rico Municipios Population Totals: 2010–2019.” https://www.census.gov/data/tables/time-series/demo/popest/2010s-total-puerto-rico-municipios.html.

US Census Bureau. 2019. “American Community Survey 5-Year Data (2014–2018).” https://www.census.gov/data/developers/data-sets/acs-5year.html.

US Bureau of Labor Statistics. 2020. “Labor Force Data by County, Not Seasonally Adjusted, Latest 14 Months.” https://www.bls.gov/web/metro/laucntycur14.txt.",laura-kurgan/readme; gregg-gonsalves/readme; dare-brawley/readme; jia-zhang/readme; suzan-iloglu/readme; thomas-thornhill/readme; adeline-chum/readme
Adrian G. White,"Adrian G. White is an analytic social psychologist at the University of Leicester, England. His work on this project is based on subjective well-being (SWB) data and the Satisfaction with Life Scale (SWLS) derived from a 2006 meta-analysis by Nic Marks, Saamah Abdallah, Andrew Simms, and Sam Thompson.",White,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/adrian-g-white/image.jpg,,,,['maker'],,,"Leicester, England",,,,,,,
Aileen O'Hearn,"Aileen O’Hearn leads scientific research efforts for HHMI Tangled Bank Studios as science editor, and produces related classroom resources with HHMI BioInteractive. Prior to this, she conducted research at the United States Army Medical Research Institute of Infectious Diseases (USAMRIID), where she developed biodefense diagnostics for viruses including Ebola and Lassa in Biosafety Level 4 facilities and at Kenema Government Hospital in Sierra Leone, and provided hospital support in West Africa during the 2014 Ebola outbreak. O’Hearn holds a doctorate in microbiology and immunology from the University of Illinois at Chicago, and a bachelor of science in zoology from Southern Illinois University at Carbondale.",O'Hearn,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/aileen-ohearn/image.jpg,,,,['maker'],,,,,,,,,,
Alan Mislove,"Alan Mislove is an assistant professor at the College of Computer and Information Science at Northeastern University. He received his PhD from Rice University in 2009, and was a postdoctoral researcher at the Max Planck Institute for Software Systems (MPI-SWS) in the summer of 2009. Prof. Mislove's research concerns distributed systems and networks, with a focus on using social networks to solve systems problems. In particular, his research is focused on studying computer systems that enable communication among people, such as online social networks, and designing, building, deploying, and evaluating innovative systems of this kind. He is a recipient of the prestigious NSF Career Award (2011), and his work has been covered by New Scientist, The New York Times, and the CBS Evening News.",Mislove,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/alan-mislove/image.jpg,,,,['maker'],,,"Evanston, IL, USA",,,,,,,
Alan Porter,"Alan Porter is professor emeritus of Industrial & Systems Engineering, and of Public Policy, at Georgia Tech, where he is co-director of the Technology Policy and Assessment Center. He is also director of R&D for Search Technology, Inc., Norcross, GA (producers of VantagePoint and Thomson Data Analyzer software). He is author or co-author of some 230 articles and books, including Tech Mining (Wiley, 2005) and Forecasting and Management of Technology (Wiley, 2011). Current research emphasizes “forecasting innovation pathways” for newly emerging technologies. This entails text mining of science, technology, and innovation information resources to generate Competitive Technical Intelligence.",Porter,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/alan-porter/image.jpg,"{""type"":""Point"",""coordinates"":[-84.22125683500562,33.9715785246666]}",,,"['maker', 'ambassador']",Director,"Search Technology, Inc","Peachtree Corners, GA, USA",,,,,,,
Alasdair Rae,Alasdair Rae is an urban and regional data analyst who works in the Department of Urban Studies and Planning at the University of Sheffield in the UK. His interest in the regional geography of the United States stems from his time as a graduate student in geography at The Ohio State University and from his current work on understanding functional regions in Great Britain.,Rae,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/alasdair-rae/image.jpg,,,,['maker'],,,"Sheffield, England",,,,,,,
Albert-László Barabási,"Albert-László Barabási holds an MS in theoretical physics from Eötvös Loránd University in Budapest, Hungary, and a PhD from Boston University. He is a distinguished university professor at Northeastern University, where he directs the Center for Complex Network Research, and holds appointments in the Departments of Physics, Computer Science, Biology, and Medicine. He also teaches at Harvard Medical School and Brigham and Women’s Hospital. Barabási is a member of the Center for Cancer Systems Biology at Dana-Farber Cancer Institute. He authored Linked: The New Science of Networks and coedited The Structure and Dynamics of Networks.
",Barabási,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/albert-laszlo-barabasi/image.jpg,,,,['maker'],,,"Budapest, Hungary",,,,,,,
Alessandro Vespignani,"Alessandro Vespignani is James H. Rudy Professor of Informatics and Computing and adjunct professor of physics and statistics at Indiana University, where he is also the director of the Center for Complex Networks and Systems Research (CNetS) and associate director of the Pervasive Technology Institute. He obtained his PhD at the University of Rome “La Sapienza.” After holding research positions at Yale University and Leiden University, he was a member of the condensed matter research group at the International Center for Theoretical Physics (UNESCO) in Trieste. Before joining Indiana University, Vespignani was faculty of the Laboratoire de Physique Théorique at the University of Paris-Sud, working for the French National Council for Scientific Research (CNRS), of which he is still a member at large. Vespignani is an elected fellow of the American Physical Society and is serving on the board/leadership of a variety of professional associations and journals and the Institute for Scientific Interchange Foundation in Turin, Italy.
",Vespignani,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/alessandro-vespignani/image.jpg,,,,['maker'],,,"Bloomington, IN, USA",,,,,,,
Alex (Sandy) Pentland,"Alex 'Sandy' Pentland directs MIT Connection Science, an MIT-wide initiative, and previously helped create and direct the MIT Media Lab and the Media Lab Asia in India. He co-led the World Economic Forum discussion in Davos that led to the EU privacy regulation GDPR, and he was one of the UN Secretary General's ""Data Revolutionaries"" helping to forge the transparency and accountability mechanisms in the UN's Sustainable Development Goals. Named by Forbes as one of the “7 most powerful data scientists in the world,” Pentland has also received numerous awards and prizes, such as the McKinsey Award from Harvard Business Review, the DARPA 40th Anniversary of the Internet Grand Challenge, and the Brandeis Award for work in privacy.",Pentland,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/alex-sandy-pentland/pentland_alex_-sandy-.png,,,,['maker'],,,,,,,,,,
Alex Soojung-Kim Pang,"Alex Soojung-Kim Pang is a research director at IFTF. He holds a PhD in history and sociology of science from the University of Pennsylvania. Pang brings strong historical and theoretical perspectives to his work on the future of pervasive computing, the end of cyberspace, and the coevolution of technology and society. He is also the founding editor of Future Now, IFTF's blog on emerging technologies, and is involved in other IFTF experiments involving social networking media, new publishing platforms, and futures research.
",Soojung-Kim Pang,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/alex-soojung-kim-pang/image.jpg,,,,['maker'],,,"Palo Alto, CA, USA",,,,,,,
Alexander Gates,"""Alexander Gates is an associate research scientist in the Network Science Institute at Northeastern University. His research fuses data science and network science to study complex systems in sociology, biology, and neuroscience. Before arriving at Northeastern, he received a joint PhD degree in informatics (complex systems track) and cognitive science from Indiana University–Bloomington, an MSc from King’s College London in complex systems modeling, and a BA in mathematics from Cornell University. 
""",Gates,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/alexander-gates/image.jpg,,,,['maker'],,,"Evanston, IL, USA",,,,,,,
Alice Grishchenko,"Alice Grishchenko is a data visualization specialist at the Center for Complex Networks Research, Northeastern University. She is a design generalist and has experience with illustration, animation, data visualization, game design and virtual reality. Alice received her MFA in digital animation and interactive media from the Ohio State University.",Grishchenko,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/alice-grischchenko/image.jpg,,,,['maker'],,,"Evanston, IL, USA",,,,,,,
Alkim A. A. Salah,"Alkim A. A. Salah received a BS in industrial design and an MA in art history from Istanbul Technical University and a PhD from UCLA’s Department of Art History. She designed this map while working as a postdoctoral researcher at the Royal Netherlands Academy of Arts and Sciences (KNAW). Her research focuses on digital humanities, art history, data visualization, and bibliometrics.
",Salah,https://raw.githubusercontent.com/cns-iu/scimaps/gh-pages/assets/content/person/alkim-a-a-salah/image.jpg,,,,['maker'],,,,,,,,,,
